,Year,Number of exported firearms
0,2018,554237
1,2017,488300
2,2016,376818
3,2015,343456
4,2014,420932
5,2013,393121
6,2012,287554
7,2011,296888
8,2010,241977
9,2009,194744
10,2008,228488
11,2007,204782
12,2006,367521
13,2005,194682
14,2004,139920
15,2003,141912
16,2002,150756
17,2001,172611
18,2000,172627
19,1999,220318
20,1998,203344
21,1997,275081
22,1996,331997
23,1995,424221
24,1994,404473
25,1993,431204
26,1992,403791
27,1991,401165
28,1990,361625
29,1989,261282
30,1988,257182
31,1987,288045
32,1986,217448
