,Year,Inflation rate compared to previous year
0,2025*,3.22%
1,2024*,3.14%
2,2023*,3.08%
3,2022*,3.85%
4,2021*,4.6%
5,2020*,3.62%
6,2019,2.6%
7,2018,3.66%
8,2017,4.31%
9,2016,3.28%
10,2015,6.67%
11,2014,8.7%
12,2013,6.6%
13,2012,10.1%
14,2011,8.6%
15,2010,4.8%
16,2009,7.1%
17,2008,6.3%
18,2007,5.2%
19,2006,4.9%
20,2005,4.8%
21,2004,3.35%
22,2003,2.47%
23,2002,2.94%
24,2001,3.72%
25,2000,7.18%
26,1999,9.06%
27,1998,7.59%
28,1997,8.55%
29,1996,8.78%
30,1995,7.08%
31,1994,9.5%
32,1993,9.6%
33,1992,8.14%
34,1991,10.35%
35,1990,9.41%
36,1989,8.86%
37,1988,8.18%
38,1987,7.04%
39,1986,5.18%
40,1985,8%
