,Year,Gross domestic product in billion international dollars
0,2021*,178.52
1,2020*,165.13
2,2019,170.93
3,2018,162.52
4,2017,153.9
5,2016,145.94
6,2015,139.14
7,2014,132.43
8,2013,127.6
9,2012,125.0
10,2011,122.21
11,2010,116.96
12,2009,114.96
13,2008,118.13
14,2007,109.23
15,2006,99.83
16,2005,90.72
17,2004,82.11
18,2003,75.12
19,2002,70.14
20,2001,65.16
21,2000,61.42
22,1999,57.34
23,1998,61.62
24,1997,58.43
25,1996,66.94
26,1995,71.49
27,1994,71.16
28,1993,72.32
29,1992,79.94
30,1991,85.35
31,1990,92.51
32,1989,98.1
33,1988,94.88
34,1987,89.5
35,1986,83.42
36,1985,77.65
37,1984,73.94
