,Country,Share of respondents
0,Jordan,12%
1,Pakistan,14%
2,Egypt,10%
3,Turkey,19%
4,Russia,23%
5,Palestinian territory,30%
6,Greece,34%
7,Argentina,36%
8,Lebanon,41%
9,Tunisia,42%
10,China,50%
11,Germany,51%
12,Malaysia,51%
13,Czech Republic,54%
14,India,55%
15,Mexico,56%
16,Ukraine,57%
17,Indonesia,59%
18,Spain,60%
19,Britain,60%
20,Uganda,62%
21,Venezuela,62%
22,Mexico,63%
23,Colombia,64%
24,Brazil,65%
25,Peru,65%
26,Japan,66%
27,United Kingdom,66%
28,South Africa,68%
29,Nigeria,69%
30,Nicaragua,71%
31,Chile,72%
32,Poland,73%
33,Thailand,73%
34,Senegal,74%
35,France,75%
36,Tanzania,75%
37,Bangladesh,76%
38,Vietnam,76%
39,Ghana,77%
40,Italy,78%
41,El Salvador,80%
42,Kenya,80%
43,South Korea,82%
44,Israel,84%
45,Philippines,92%
