,Orange soft drink brands,Sugar content in grams per 100ml
0,Club Orange (2L),14.3
1,Finches Sparkling Orange (2L),13.3
2,Club Rock Shandy (2L),13.2
3,Finches Rock Shandy (1.5L),13.2
4,Marley's Natural Relaxation Mellow Mood Citrus (355ml),12.1
5,Rio Citrus (330ml),11.8
6,Marks & Spencer Florida Orange,11.7
7,Heartsease Farm St. Clements Pressé Sparkling (750 ml),11.2
8,San Pellegrino Sanpellegrino Chinotte (330ml can),11.1
9,Mirinda Orange (330ml),10.6
10,Tesco Orange & Mango Sparkling Drink,10.6
11,Tesco Orange & Passion Fruit Sparkling Drink,10.3
12,Barr Orangina Bulby,10.2
13,Barr Orangina Regular,10.2
14,Lidl Freeway Orange,10.0
15,San Pellegrino Sanpellegrin Aranciata (6 x 330ml),9.7
16,Barr Orangina Tropical,9.3
17,Turbo Tango (375ml),8.2
18,Pure Pret Sparkling Orange,7.9
19,Tesco Orange Sparkling Drink,7.3
20,Country Spring Orange (3L),7.2
21,Fanta Orange (330ml),7.1
22,Fanta Orange (500ml),6.9
23,Rapidz Orange,5.1
24,TK Orange (2L),3.9
