,Week starting date,Expenditure in million U.S. dollars
0,"Nov 5, 2012",1.35
1,"Oct 29, 2012",97.8
2,"Oct 22, 2012",76.5
3,"Oct 15, 2012",53.4
4,"Oct 8, 2012",34.3
5,"Oct 1, 2012",33.0
6,"Sep 24, 2012",17.3
7,"Sep 17, 2012",29.0
8,"Sep 10, 2012",10.03
9,"Sep 03, 2012",8.8
10,"Aug 27, 2012",3.29
11,"Aug 20, 2012",15.7
12,"Aug 13, 2012",13.47
13,"Aug 6, 2012",4.31
14,"Jul 30, 2012",14.16
15,"Jul 23, 2012",11.0
16,"Jul 16, 2012",4.54
17,"Jul 9, 2012",3.31
18,"Jul 2, 2012",0.85
19,"Jun 25, 2012",6.31
20,"Jun 18, 2012",8.93
21,"Jun 11, 2012",1.39
22,"Jun 4, 2012",4.33
23,"May 28, 2012",1.57
24,"May 21, 2012",2.07
25,"May 14, 2012",8.15
26,"May 7, 2012",5.15
27,"Apr 30, 2012",4.14
28,"Apr 23, 2012",3.24
29,"Apr 16, 2012",1.28
30,"Apr 9, 2012",2.88
31,"Apr 2, 2012",0.76
32,"Mar 26, 2012",3.66
33,"Mar 19, 2012",1.83
34,"Mar 12, 2012",3.68
35,"Mar 05, 2012",4.54
36,"Feb 27, 2012",11.2
37,"Feb 20, 2012",7.61
38,"Feb 13, 2012",4.54
39,"Feb 06, 2012",0.4
40,"Jan 30, 2012",1.23
41,"Jan 23, 2012",12.2
42,"Jan 16, 2012",4.84
43,"Jan 09, 2012",10.7
44,"Jan 02, 2012",1.91
45,"Dec 26, 2011",4.14
46,"Dec 19, 2011",1.66
47,"Dec 12, 2011",2.71
