,Quarter,Revenue in billion U.S. dollars
0,4Q '19,3.84
1,3Q '19,4.43
2,2Q '19,5.17
3,1Q '19,4.71
4,4Q '18,3.87
5,3Q '18,4.27
6,2Q '18,4.73
7,1Q '18,4.43
8,4Q '17,3.77
9,3Q '17,4.3
10,2Q '17,4.54
11,1Q '17,4.05
12,4Q '16,4.31
13,3Q '16,3.84
14,2Q '16,4.23
15,1Q '16,3.8
16,4Q '15,3.45
17,3Q '15,3.74
18,2Q '15,4.04
19,1Q '15,3.66
20,4Q '14,3.41
21,3Q '14,3.58
22,2Q '14,4.38
23,1Q '14,3.71
24,4Q '13,2.56
25,3Q '13,2.67
26,2Q '13,2.87
27,1Q '13,2.53
28,4Q '12,2.65
29,3Q '12,2.58
30,2Q '12,2.59
31,1Q '12,2.28
32,4Q '11,2.68
33,3Q '11,2.43
34,2Q '11,2.52
35,1Q '11,2.35
