,Year,Gini index score
0,2018/19,34.7
1,2017/18,34.4
2,2016/17,33.4
3,2015/16,35.1
4,2014/15,34.7
5,2013/14,35.3
6,2012/13,34.4
7,2011/12,33.8
8,2010/11,34.1
9,2009/10,36.6
10,2008/09,35.6
11,2007/08,38.6
12,2006/07,37.0
13,2005/06,35.9
14,2004/05,34.3
15,2003/04,34.0
16,2002/03,34.8
17,2001/02,35.9
18,2000/01,34.3
19,1999/00,35.1
20,1998/99,34.4
21,1997/98,33.4
22,1996/97,33.2
23,1995/96,32.3
24,1994/95,32.5
25,1993,33.7
26,1992,33.4
27,1991,33.9
28,1990,34.9
29,1989,32.7
30,1988,33.3
31,1987,31.5
32,1986,30.1
33,1985,29.6
34,1984,27.0
35,1983,28.3
36,1982,27.6
37,1981,27.4
38,1980,26.7
39,1979,25.4
40,1978,25.0
41,1977,25.5
