,Category Of Finance Sector,Value in billion U.S. dollars
0,Finance,68.09
1,Electronic technology,61.35
2,Technology services,47.84
3,Process industries,38.17
4,Health technology,29.18
5,Commercial services,16.87
6,Producer manufacturing,15.86
7,Distribution services,15.31
8,Industrial services,13.2
9,Consumer non-durables,10.94
10,Utilities,10.22
11,Consumer services,9.74
12,Communications,8.84
13,Non-energy minerals,8.55
14,Consumer durables,7.25
15,Energy minerals,7.02
16,Health services,5.08
17,Retail trade,3.22
18,Transportation,2.82
19,Miscellaneous,0.17
20,Government,0.01
