,Industry,Real value added in billion chained (2012) U.S. dollars
0,Manufacturing,58.26
1,"Finance, insurance, real estate, rental, and leasing",57.94
2,Professional and business services,32.15
3,Government and government enterprises,31.06
4,"Educational services, health care, and social assistance",30.82
5,Retail trade,18.37
6,Wholesale trade,18.02
7,Information,14.25
8,Construction,10.96
9,"Arts, entertainment, recreation, accommodation, and food services",8.95
10,Transportation and warehousing,8.6
11,"Agriculture, forestry, fishing, and hunting",7.18
12,Other services (except government and government enterprises),6.31
13,Utilities,4.65
14,"Mining, quarrying, and oil and gas extraction",1.68
