,Wool sale dates*,Average price in pence per kilogram
0,3 Oct '17,100
1,19 Sep '17,98
2,5 Sep '17,105
3,15 Aug '17,107
4,25 Jul '17,108
5,4 Jul '17,106
6,6 Jun '17,108
7,9 May '17,106
8,11 Apr '17,116
9,28 Mar '17,110
10,7 Mar '17,107
11,14 Feb '17,101
12,24 Jan '17,105
13,10 Jan '17,106
14,13 Dec '16,109
15,22 Nov '16,114
16,8 Nov '16,120
17,18 Oct '16,114
18,4 Oct '16,115
19,20 Sep '16,124
20,6 Sep '16,124
21,16 Aug '16,126
22,26 Jul '16,131
23,5 Jul '16,131
24,7 Jun '16,125
25,10 May '16,127
26,12 Apr '16,134
27,15 Mar '16,134
28,1 Mar '16,117
29,16 Feb '16,117
30,26 Jan '16,128
31,12 Jan '16,125
32,15 Dec '15,126
33,24 Nov '15,125
34,10 Nov '15,120
35,20 Oct 15,123
36,6 Oct '15,125
37,22 Sep '15,127
38,1 Sep '15,128
39,18 Aug '15,143
40,28 Jul '15,146
41,7 Jul '15,151
42,9 Jun '15,147
43,12 May '15,157
44,14 Apr '15,150
45,17 Mar '15,143
46,3 Mar '15,144
47,10 Feb '15,144
48,27 Jan '15,142
49,6 Jan '15,148
50,9 Dec '14,145
51,25 Nov '14,147
52,11 Nov '14,151
53,21 Oct 2014,154
54,7 Oct '14,153
55,23 Sep '14,150
56,2 Sep '14,155
