,Month,Number of registered clients
0,April-June 2019,363917
1,January-March 2019,355302
2,October-December 2018,353642
3,July-September 2018,342103
4,April-June 2018,330344
5,January-March 2018,296702
6,October-December 2017,269502
7,July-September 2017,235621
8,April-June 2017,201398
9,January-March 2017,167754
10,October-December 2016,129876
11,July-September 2016,98460
12,April-June 2016,75166
13,January-March 2016,53649
14,October-December 2015,39668
15,July-September 2015,30537
16,April-June 2015,23930
