,Month,Index number of sales per week
0,Jun 20,92.5
1,May 20,38.0
2,Apr 20,23.2
3,Mar 20,76.6
4,Feb 20,97.1
5,Jan 20,98.8
6,Dec 19,99.6
7,Nov 19,102.5
8,Oct 19,109.8
9,Sep 19,104.9
10,Aug 19,104.7
11,Jul 19,94.6
12,Jun 19,109.9
13,May 19,104.8
14,Apr 19,104.0
15,Mar 19,104.1
16,Feb 19,103.9
17,Jan 19,99.3
18,Dec 18,106.3
19,Nov 18,105.9
20,Oct 18,102.9
21,Sep 18,107.2
22,Aug 18,105.6
23,Jul 18,102.7
24,Jun 18,103.0
25,May 18,103.7
26,Apr 18,101.5
27,Mar 18,99.8
28,Feb 18,104.7
29,Jan 18,106.7
30,Dec 17,101.3
31,Nov 17,103.8
32,Oct 17,103.3
33,Sep 17,99.5
34,Aug 17,94.0
35,Jul 17,103.9
36,Jun 17,99.9
37,May 17,97.4
38,Apr 17,104.2
39,Mar 17,99.3
40,Feb 17,96.9
41,Jan 17,96.8
42,Dec 16,98.1
43,Nov 16,99.8
44,Oct 16,99.5
45,Sep 16,99.1
46,Aug 16,99.1
47,Jul 16,98.3
48,Jun 16,97.0
49,May 16,101.4
50,Apr 16,101.3
51,Mar 16,101.9
52,Feb 16,102.7
53,Jan 16,102.7
