,Month,Units sold
0,Dec '19,1383
1,Nov '19,1820
2,Oct '19,2143
3,Sep '19,2887
4,Aug '19,1872
5,Jul '19,2244
6,Jun '19,2207
7,May '19,2343
8,Apr '19,2205
9,Mar '19,2811
10,Feb '19,1457
11,Jan '19,1714
12,Dec '18,1471
13,Nov '18,2105
14,Oct '18,2110
15,Sep '18,2958
16,Aug '18,2126
17,Jul '18,2238
18,Jun '18,2500
19,May '18,2090
20,Apr '18,1961
21,Mar '18,2715
22,Feb '18,1262
23,Jan '18,1408
24,Dec '17,1976
25,Nov '17,1807
26,Oct '17,2143
27,Sep '17,2947
28,Aug '17,1820
29,Jul '17,2438
30,Jun '17,2512
31,May '17,2423
32,Apr '17,2035
33,Mar '17,2644
34,Feb '17,1415
35,Jan '17,1500
36,Dec '16,3321
37,Nov '16,2579
38,Oct '16,3028
39,Sep '16,4416
40,Aug '16,2687
41,Jul '16,3083
42,Jun ´16,3550
43,May '16,2940
44,Apr '16,2917
45,Mar '16,3656
46,Feb '16,1880
47,Jan '16,2015
