,Quarter,Profits in billion U.S. dollars
0,Q3 '19,2078.0
1,Q2 '19,2082.7
2,Q1 '19,2006.9
3,Q4 '18,2085.6
4,Q3 '18,2104.2
5,Q2 '18,2056.4
6,Q1 '18,2052.3
7,Q4 '17,2001.4
8,Q3 '17,2019.0
9,Q2 '17,2008.0
10,Q1 '17,1995.4
11,Q4 '16,2012.6
12,Q3 '16,2013.0
13,Q2 '16,1998.1
14,Q1 '16,2022.2
15,Q4 '15,1948.0
16,Q3 '15,2062.3
17,Q2 '15,2103.7
18,Q1 '15,2132.0
19,Q4 '14,2184.2
20,Q3 '14,2191.0
21,Q2 '14,2138.3
22,Q1 '14,1967.4
23,Q4 '13,2047.9
24,Q3 '13,2011.1
25,Q2 '13,2000.2
26,Q1 '13,1983.5
27,Q4 '12,1971.7
28,Q3 '12,1985.4
29,Q2 '12,2006.9
30,Q1 '12,2025.6
