,Football Clubs,Team value in million U.S. dollars
0,Atlanta United,500
1,LA Galaxy,480
2,Los Angeles FC,475
3,Seattle Sounders,405
4,Toronto FC,395
5,Portland Timbers,390
6,New York City FC,385
7,Chicago Fire,335
8,D.C. United,330
9,Sporting Kansas City,325
10,Minnesota United,300
11,Orlando City SC,295
12,New York Red Bulls,290
13,FC Cincinnati,285
14,Houston Dynamo,280
15,San Jose Earthquakes,275
16,New England Revolution,245
17,Philadelphia Union,240
18,Real Salt Lake,235
19,FC Dallas,220
20,Vancouver Whitecaps,215
21,Montreal Impact,210
22,Columbus Crew,200
23,Colorado Rapids,190
