,Response,Percentage of husband-wife households
0,Utah,68.53%
1,Texas,62.69%
2,Alaska,61.98%
3,Kansas,61.34%
4,California,60.96%
5,Idaho,60.72%
6,Nebraska,60.16%
7,Colorado,59.3%
8,North Dakota,59.17%
9,Hawaii,58.53%
10,Virginia,58.46%
11,Oklahoma,58.45%
12,Maryland,58.36%
13,Minnesota,58.29%
14,Illinois,57.4%
15,Arizona,57.38%
16,Iowa,57.14%
17,United States,56.4%
18,New Jersey,56.19%
19,South Dakota,56.07%
20,Indiana,55.95%
21,Georgia,55.9%
22,New York,55.73%
23,Nevada,55.53%
24,North Carolina,55.23%
25,Washington,55.16%
26,Louisiana,55.07%
27,Kentucky,55.07%
28,Missouri,55.03%
29,New Mexico,54.47%
30,District of Columbia,54.17%
31,Massachusetts,54.05%
32,Wisconsin,54%
33,Mississippi,53.97%
34,Arkansas,53.76%
35,Wyoming,53.64%
36,Oregon,53.56%
37,Connecticut,53.23%
38,Pennsylvania,52.29%
39,Montana,52.02%
40,Michigan,52%
41,Tennessee,51.52%
42,South Carolina,51.45%
43,Florida,51.18%
44,Ohio,50.98%
45,West Virginia,50.94%
46,Alabama,50.65%
47,Maine,50.63%
48,Vermont,50.27%
49,New Hampshire,49.64%
50,Delaware,48.87%
51,Rhode Island,46.46%
