,Month,Market share
0,Dec 19,5.84%
1,Nov 19,6%
2,Oct 19,5.29%
3,Sep 19,3.71%
4,Aug 19,9.79%
5,Jul 19,6.57%
6,Jun 19,6.36%
7,May 19,6.85%
8,Apr 19,7.73%
9,Mar 19,6.14%
10,Feb 19,6.24%
11,Jan 19,5.36%
12,Dec 18,4.38%
13,Nov 18,4.31%
14,Oct 18,4.22%
15,Sep 18,4.07%
16,Aug 18,8.06%
17,Jul 18,8.21%
18,Jun 18,6.18%
19,May 18,7.1%
20,Apr 18,7.82%
21,Mar 18,6.32%
22,Feb 18,7.6%
23,Jan 18,7.22%
24,Dec 17,7%
25,Nov 17,7.38%
26,Oct 17,8.66%
27,Sep 17,6.95%
28,Aug 17,8.24%
29,Jul 17,7.96%
30,Jun 17,6.19%
31,May 17,7.39%
32,Apr 17,8.61%
33,Mar 17,5.49%
34,Feb 17,6.3%
35,Jan 17,6.69%
36,Dec 16,6.36%
37,Nov 16,7.02%
38,Oct 16,8.14%
39,Sep 16,6.62%
40,Aug 16,7.59%
41,Jul 16,6.49%
