,Year,Gross domestic product in billion U.S. dollars
0,2024*,68.13
1,2023*,62.91
2,2022*,58.06
3,2021*,53.1
4,2020*,48.35
5,2019*,44.44
6,2018*,43.05
7,2017*,38.13
8,2016,35.3
9,2015,33.13
10,2014,35.32
11,2013,31.26
12,2012,26.79
13,2011,25.67
14,2010,24.89
15,2009,24.28
16,2008,24.23
17,2007,20.34
18,2006,17.8
19,2005,17.09
20,2004,16.55
21,2003,15.31
22,2002,12.35
23,2001,11.19
24,2000,10.72
25,1999,12.38
26,1998,12.61
27,1997,11.72
28,1996,12.14
29,1995,11.0
30,1994,8.31
31,1993,11.05
32,1992,11.15
33,1991,10.49
34,1990,10.8
35,1989,9.76
36,1988,10.2
37,1987,10.09
38,1986,9.17
39,1985,6.85
40,1984,6.72
