,Year,Inflation rate compared to previous year
0,2024*,1.28%
1,2023*,1.26%
2,2022*,1.2%
3,2021*,0.66%
4,2020*,1.3%
5,2019*,0.99%
6,2018,0.98%
7,2017,0.47%
8,2016,-0.11%
9,2015,0.79%
10,2014,2.76%
11,2013,0.34%
12,2012,-0.06%
13,2011,-0.27%
14,2010,-0.72%
15,2009,-1.35%
16,2008,1.38%
17,2007,0.06%
18,2006,0.25%
19,2005,-0.28%
20,2004,-0.01%
21,2003,-0.26%
22,2002,-0.92%
23,2001,-0.74%
24,2000,-0.68%
25,1999,-0.34%
26,1998,0.67%
27,1997,1.75%
28,1996,0.14%
29,1995,-0.13%
30,1994,0.7%
31,1993,1.24%
32,1992,1.76%
33,1991,3.25%
34,1990,3.08%
35,1989,2.27%
36,1988,0.68%
37,1987,0.13%
38,1986,0.6%
39,1985,2.03%
40,1984,2.26%
