,Country,Number of CFPs worldwide
0,United States,191
1,United Kingdom,44
2,Netherlands,29
3,France,28
4,Brazil,21
5,Germany,20
6,Spain,18
7,Canada,17
8,Australia,12
9,Portugal,6
10,New Zealand,6
11,Belgium,6
12,Italy,6
13,India,6
14,Switzerland,5
15,China,4
16,Denmark,3
17,Sweden,3
18,Ireland,3
19,Finland,3
20,Russia,2
21,Czech Republic,2
22,Argentina,2
23,Mexico,2
24,Japan,3
25,Austria,1
26,Estonia,1
27,Latvia,1
28,Norway,1
29,Romania,1
30,Hungary,1
31,Phillipines,1
32,Zambia,1
33,Chile,1
34,Haiti,1
35,Israel,1
36,Hong Kong,1
