,Month,Number of patients
0,"Dec 15, 2020",439
1,"Dec 14, 2020",429
2,"Dec 13, 2020",390
3,"Dec 12, 2020",371
4,"Dec 11, 2020",361
5,"Dec 10, 2020",342
6,"Dec 9, 2020",349
7,"Dec 8, 2020",354
8,"Dec 7, 2020",328
9,"Dec 6, 2020",302
10,"Dec 5, 2020",279
11,"Dec 4, 2020",293
12,"Dec 3, 2020",267
13,"Dec 2, 2020",266
14,"Dec 1, 2020",254
15,"Nov 30, 2020",259
16,"Nov 29, 2020",256
17,"Nov 28, 2020",249
18,"Nov 27, 2020",254
19,"Nov 26, 2020",244
20,"Nov 25, 2020",251
21,"Nov 24, 2020",255
22,"Nov 23, 2020",261
23,"Nov 22, 2020",254
24,"Nov 21, 2020",237
25,"Nov 20, 2020",244
26,"Nov 19, 2020",255
27,"Nov 18, 2020",248
28,"Nov 17, 2020",259
29,"Nov 16, 2020",267
30,"Nov 15, 2020",259
31,"Nov 14, 2020",243
32,"Nov 13, 2020",236
33,"Nov 12, 2020",239
34,"Nov 11, 2020",216
35,"Nov 10, 2020",211
36,"Nov 9, 2020",196
37,"Nov 8, 2020",188
38,"Nov 7, 2020",187
39,"Nov 6, 2020",191
40,"Nov 5, 2020",182
41,"Nov 4, 2020",184
42,"Nov 3, 2020",169
43,"Nov 2, 2020",174
44,"Nov 1, 2020",156
45,"Oct 31, 2020",147
46,"Oct 30, 2020",144
47,"Oct 29, 2020",139
48,"Oct 28, 2020",136
49,"Oct 27, 2020",137
50,"Oct 26, 2020",145
51,"Oct 25, 2020",127
52,"Oct 24, 2020",120
53,"Oct 23, 2020",125
54,"Oct 22, 2020",124
55,"Oct 21, 2020",122
56,"Oct 20, 2020",128
57,"Oct 19, 2020",129
58,"Oct 18, 2020",119
59,"Oct 17, 2020",110
60,"Oct 16, 2020",110
61,"Oct 15, 2020",104
62,"Oct 14, 2020",104
63,"Oct 13, 2020",103
64,"Oct 12, 2020",107
65,"Oct 11, 2020",102
66,"Oct 10, 2020",103
67,"Oct 9, 2020",106
68,"Oct 8, 2020",115
69,"Oct 7, 2020",116
70,"Oct 6, 2020",124
71,"Oct 5, 2020",120
72,"Oct 4, 2020",105
73,"Oct 3, 2020",105
74,"Oct 2, 2020",106
75,"Oct 1, 2020",109
76,"Sep 30, 2020",102
77,"Sep 29, 2020",107
78,"Sep 28, 2020",110
79,"Sep 27, 2020",95
80,"Sep 26, 2020",97
81,"Sep 25, 2020",101
82,"Sep 24, 2020",95
83,"Sep 23, 2020",78
84,"Sep 22, 2020",79
85,"Sep 21, 2020",75
86,"Sep 20, 2020",67
87,"Sep 19, 2020",62
88,"Sep 18, 2020",58
89,"Sep 17, 2020",60
90,"Sep 16, 2020",51
91,"Sep 15, 2020",56
92,"Sep 14, 2020",50
93,"Sep 13, 2020",47
94,"Sep 12, 2020",43
95,"Sep 11, 2020",44
96,"Sep 10, 2020",35
97,"Sep 9, 2020",30
98,"Sep 8, 2020",28
99,"Sep 7, 2020",29
100,"Sep 6, 2020",27
101,"Sep 5, 2020",16
102,"Sep 4, 2020",18
103,"Sep 3, 2020",17
104,"Sep 2, 2020",15
105,"Sep 1, 2020",20
106,"Aug 31, 2020",23
107,"Aug 30, 2020",21
108,"Aug 29, 2020",21
109,"Aug 28, 2020",21
110,"Aug 27, 2020",19
111,"Aug 26, 2020",19
112,"Aug 25, 2020",21
113,"Aug 24, 2020",20
114,"Aug 23, 2020",19
115,"Aug 22, 2020",22
116,"Aug 21, 2020",22
117,"Aug 20, 2020",20
118,"Aug 19, 2020",16
119,"Aug 18, 2020",18
120,"Aug 17, 2020",16
121,"Aug 16, 2020",12
122,"Aug 15, 2020",14
123,"Aug 14, 2020",14
124,"Aug 13, 2020",13
125,"Aug 12, 2020",16
126,"Aug 11, 2020",20
127,"Aug 10, 2020",23
128,"Aug 9, 2020",20
129,"Aug 8, 2020",21
130,"Aug 7, 2020",25
131,"Aug 6, 2020",24
132,"Aug 5, 2020",23
133,"Aug 4, 2020",24
134,"Aug 3, 2020",24
135,"Aug 2, 2020",20
136,"Aug 1, 2020",16
137,"Jul 31, 2020",18
138,"Jul 30, 2020",18
139,"Jul 29, 2020",21
140,"Jul 28, 2020",22
141,"Jul 27, 2020",23
142,"Jul 26, 2020",23
143,"Jul 25, 2020",17
144,"Jul 24, 2020",16
145,"Jul 23, 2020",19
146,"Jul 22, 2020",16
147,"Jul 21, 2020",18
148,"Jul 20, 2020",18
149,"Jul 19, 2020",19
150,"Jul 18, 2020",16
151,"Jul 17, 2020",20
152,"Jul 16, 2020",17
