,Online products and services,Sales in billion South Korean won
0,Travel and transportation services,16159.87
1,Clothing,13899.1
2,"Home electronic appliances, electronic and telecommunication equipment",11591.19
3,Food and beverages,10532.73
4,Cosmetics,9840.41
5,Household goods,8774.23
6,Computer andcomputer-related appliances,5389.48
7,Food services,5273.12
8,Sports and leisure appliances,3798.51
9,Goods for infants and children,3610.68
10,Furniture,3133.49
11,"Agricultural, livestockand fishery products",2948.56
12,Others,2801.7
13,Fashion and accessories,2366.92
14,Luggage,2239.67
15,eCoupon services,2108.68
16,Cultural and leisure services,1995.48
17,Footwear,1893.16
18,Books,1821.13
19,Car parts and accessories,1031.0
20,Pet products,860.25
21,Office appliances and stationery,830.92
22,Miscellaneous services,829.42
