,Country,Youth unemployment rate
0,Spain,40.8%
1,Greece **,33.6%
2,Sweden,28.7%
3,Italy,27.6%
4,Luxembourg,26.7%
5,Portugal,25.6%
6,Croatia,23.7%
7,France,21.2%
8,Cyprus,19.6%
9,Finland,19.4%
10,Lithuania,18.9%
11,Latvia,18.4%
12,Slovakia,18.1%
13,Estonia*,17.9%
14,Romania***,17.4%
15,Euro area,17%
16,EU,16.8%
17,Hungary*,15.9%
18,Belgium,13%
19,Ireland,12.8%
20,Denmark,12.1%
21,Malta,11.8%
22,Slovenia,11.2%
23,Netherlands,10.7%
24,Austria,10.6%
25,Bulgaria,10.1%
26,Poland,9.5%
27,Czech Republic,8.2%
28,Germany,5.6%
