,App Categories,Mobile reach
0,Communication & Social,97.9%
1,Web Browsers,97.6%
2,Utilities & Tools,96.6%
3,Entertainment,95.5%
4,Search & Reference,93.2%
5,Shopping,92.6%
6,News & Weather,88.6%
7,Travel,84.7%
8,Finance,83.2%
9,"People, Family & Lifestyle",82.3%
10,Productivity,79.6%
11,Technology,71.7%
12,Business,70.5%
13,Health & Fitness,68.9%
14,Games,65.9%
15,Photo & Video,63.4%
16,Careers & Education,52.1%
17,Sports,42.7%
18,Books,38.5%
19,"Law, Government & Non-Profit",37.6%
20,Other & Uncategorized,32.7%
21,Real Estate,26.7%
22,Automotive,20.2%
23,Gambling & Lottery,9.3%
