,Year,Gross domestic product in billion U.S. dollars
0,2024*,161.28
1,2023*,151.03
2,2022*,141.58
3,2021*,132.77
4,2020*,124.54
5,2019*,119.04
6,2018,118.53
7,2017,109.71
8,2016,103.35
9,2015,101.18
10,2014,110.08
11,2013,106.83
12,2012,98.27
13,2011,101.37
14,2010,93.22
15,2009,92.9
16,2008,92.51
17,2007,79.04
18,2006,68.64
19,2005,62.34
20,2004,59.63
21,2003,52.06
22,2002,42.24
23,2001,39.46
24,2000,38.86
25,1999,41.63
26,1998,41.81
27,1997,39.15
28,1996,43.16
29,1995,39.03
30,1994,35.61
31,1993,31.66
32,1992,33.71
33,1991,32.29
34,1990,30.18
35,1989,26.71
36,1988,25.95
37,1987,21.91
38,1986,19.86
39,1985,15.04
40,1984,14.9
