,Month,House price index (2015=100)
0,Aug '20,128.85
1,Jul '20,129.73
2,Jun '20,128.16
3,May '20,124.14
4,Apr '20,122.67
5,Mar '20,124.13
6,Feb '20,124.41
7,Jan '20,124.42
8,Dec '19,124.09
9,Nov '19,125.99
10,Oct '19,125.13
11,Sep '19,124.36
12,Aug '19,122.4
13,Jul '19,121.43
14,Jun '19,120.57
15,May '19,119.42
16,Apr '19,118.41
17,Mar '19,118.64
18,Feb '19,118.2
19,Jan '19,119.95
20,Dec '18,118.67
21,Nov '18,119.75
22,Oct '18,119.1
23,Sep '18,118.55
24,Aug '18,117.01
25,Jul '18,115.88
26,Jun '18,115.7
27,May '18,114.21
28,Apr '18,115.15
29,Mar '18,114.27
30,Feb '18,113.6
31,Jan '18,111.34
32,Dec '17,109.92
33,Nov '17,110.6
34,Oct '17,110.44
35,Sep '17,111.26
36,Aug '17,109.58
37,Jul '17,108.19
38,Jun '17,105.89
39,May '17,103.56
40,Apr '17,101.69
41,Mar '17,101.78
42,Feb '17,102.15
43,Jan '17,102.48
44,Dec '16,101.95
45,Nov '16,103.34
46,Oct '16,103.3
47,Sep '16,103.29
48,Aug '16,101.1
49,Jul '16,100.72
50,Jun '16,99.57
51,May '16,103.18
52,Apr '16,103.32
53,Mar '16,102.74
54,Feb '16,102.0
55,Jan '16,103.02
56,Dec '15,103.83
57,Nov '15,103.13
58,Oct '15,102.24
59,Sep '15,102.62
60,Aug '15,100.98
61,Jul '15,100.79
62,Jun '15,97.68
63,May '15,102.68
64,Apr '15,103.73
65,Mar '15,105.84
66,Feb '15,101.54
67,Jan '15,100.0
