,Month,Interest rate
0,Nov 20,4.22%
1,Oct 20,4.22%
2,Sep 20,4.24%
3,Aug 20,4.25%
4,Jul 20,4.24%
5,Jun 20,4.33%
6,May 20,4.35%
7,Apr 20,4.37%
8,Mar 20,4.42%
9,Feb 20,4.56%
10,Jan 20,4.56%
11,Dec 19,4.61%
12,Nov 19,4.59%
13,Oct 19,4.61%
14,Sep 19,4.61%
15,Aug 19,4.63%
16,Jul 19,4.66%
17,Jun 19,4.74%
18,May 19,4.72%
19,Apr 19,4.77%
20,Mar 19,4.77%
21,Feb 19,4.78%
22,Jan 19,4.77%
23,Dec 18,4.96%
24,Nov 18,4.93%
25,Oct 18,4.93%
26,Sep 18,4.79%
27,Aug 18,4.8%
28,Jul 18,4.83%
29,Jun 18,4.82%
30,May 18,4.64%
31,Apr 18,4.59%
32,Mar 18,4.52%
33,Feb 18,4.53%
34,Jan 18,4.51%
35,Dec 17,4.43%
36,Nov 17,4.29%
37,Oct 17,4.3%
38,Sep 17,4.29%
39,Aug 17,4.25%
40,Jul 17,4.51%
41,Jun 17,4.44%
42,May 17,4.38%
43,Apr 17,4.35%
44,Mar 17,4.38%
45,Feb 17,4.36%
46,Jan 17,4.35%
47,Dec 16,4.32%
48,Nov 16,4.27%
49,Oct 16,4.26%
50,Sep 16,4.23%
51,Aug 16,4.18%
52,Jul 16,4.17%
53,Jun 16,4.17%
54,May 16,4.25%
55,Apr 16,4.28%
56,Mar 16,4.33%
57,Feb 16,4.29%
58,Jan 16,4.33%
59,Dec 15,4.4%
60,Nov 15,4.33%
61,Oct 15,4.3%
62,Sep 15,4.32%
63,Aug 15,4.38%
64,Jul 15,4.37%
65,Jun 15,4.39%
66,May 15,4.37%
67,Apr 15,4.37%
68,Mar 15,4.31%
69,Feb 15,4.07%
70,Jan 15,4.07%
71,Dec 14,4.12%
72,Nov 14,4.06%
73,Oct 14,4.04%
74,Sep 14,4.02%
75,Aug 14,4.03%
76,Jul 14,4.03%
77,Jun 14,4.13%
78,May 14,4.13%
79,Apr 14,4.18%
80,Mar 14,4.23%
81,Feb 14,4.21%
82,Jan 14,4.25%
