,Year,Number of present-day countries
0,2000,1
1,1999,1
2,1998,1
3,1997,2
4,1996,2
5,1995,2
6,1994,2
7,1993,2
8,1992,2
9,1991,2
10,1990,2
11,1989,2
12,1988,2
13,1987,2
14,1986,2
15,1985,2
16,1984,3
17,1983,4
18,1982,4
19,1981,6
20,1980,8
21,1979,11
22,1978,14
23,1977,14
24,1976,15
25,1975,15
26,1974,16
27,1973,17
28,1972,17
29,1971,20
30,1970,23
31,1969,23
32,1968,26
33,1967,27
34,1966,32
35,1965,34
36,1964,38
37,1963,40
38,1962,43
39,1961,46
40,1960,49
41,1959,49
42,1958,49
43,1957,51
44,1956,53
45,1955,55
46,1954,55
47,1953,55
48,1952,55
49,1951,56
50,1950,57
51,1949,57
52,1948,62
53,1947,68
54,1946,70
55,1945,72
56,1944,67
57,1943,67
58,1942,68
59,1941,69
60,1940,67
61,1939,66
62,1938,66
63,1937,66
64,1936,66
65,1935,66
66,1934,67
67,1933,67
68,1932,68
69,1931,71
70,1930,71
71,1929,71
72,1928,71
73,1927,71
74,1926,71
75,1925,71
76,1924,71
77,1923,71
78,1922,72
79,1921,72
80,1920,72
81,1919,72
82,1918,71
83,1917,70
84,1916,68
85,1915,67
86,1914,67
87,1913,65
88,1912,65
89,1911,65
90,1910,65
91,1909,65
92,1908,65
93,1907,65
94,1906,65
95,1905,65
96,1904,65
97,1903,64
98,1902,64
99,1901,64
100,1900,64
101,1899,63
102,1898,62
103,1897,62
104,1896,62
105,1895,62
106,1894,63
107,1893,62
108,1892,61
109,1891,59
110,1890,58
111,1889,56
112,1888,55
113,1887,54
114,1886,52
115,1885,51
116,1884,48
117,1883,47
118,1882,47
119,1881,46
120,1880,46
121,1879,46
122,1878,46
123,1877,43
124,1876,43
125,1875,44
126,1874,44
127,1873,43
128,1872,43
129,1871,43
130,1870,43
131,1869,43
132,1868,43
133,1867,42
134,1866,42
135,1865,42
136,1864,42
137,1863,42
138,1862,42
139,1861,42
140,1860,42
141,1859,42
142,1858,42
143,1857,42
144,1856,42
145,1855,42
146,1854,42
147,1853,42
148,1852,42
149,1851,42
150,1850,42
151,1849,41
152,1848,41
153,1847,41
154,1846,41
155,1845,41
156,1844,40
157,1843,40
158,1842,39
159,1841,38
160,1840,38
161,1839,38
162,1838,36
163,1837,36
164,1836,36
165,1835,36
166,1834,34
167,1833,34
168,1832,34
169,1831,34
170,1830,34
171,1829,34
172,1828,34
173,1827,34
174,1826,32
175,1825,32
176,1824,32
177,1823,32
178,1822,32
179,1821,32
180,1820,32
181,1819,32
182,1818,31
183,1817,32
184,1816,32
185,1815,33
186,1814,32
187,1813,31
188,1812,31
189,1811,31
190,1810,31
191,1809,30
192,1808,30
193,1807,30
194,1806,29
195,1805,28
196,1804,28
197,1803,28
198,1802,30
199,1801,29
200,1800,29
201,1799,27
202,1798,27
203,1797,27
204,1796,26
205,1795,23
206,1794,23
207,1793,22
208,1792,22
209,1791,22
210,1790,22
211,1789,22
212,1788,22
213,1787,24
214,1786,23
215,1785,22
216,1784,22
217,1783,23
218,1782,20
219,1781,21
220,1780,21
221,1779,23
222,1778,24
223,1777,23
224,1776,23
225,1775,23
226,1774,23
227,1773,23
228,1772,23
229,1771,23
230,1770,23
231,1769,22
232,1768,21
233,1767,21
234,1766,21
235,1765,21
236,1764,21
237,1763,22
238,1762,20
239,1761,18
240,1760,18
241,1759,18
242,1758,18
243,1757,17
244,1756,16
245,1755,16
246,1754,16
247,1753,16
248,1752,16
249,1751,16
250,1750,16
251,1749,16
252,1748,16
253,1747,16
254,1746,16
255,1745,16
256,1744,16
257,1743,17
258,1742,17
259,1741,17
260,1740,17
261,1739,17
262,1738,17
263,1737,17
264,1736,17
265,1735,17
266,1734,17
267,1733,17
268,1732,17
269,1731,17
270,1730,17
271,1729,17
272,1728,17
273,1727,17
274,1726,17
275,1725,17
276,1724,17
277,1723,17
278,1722,17
279,1721,16
280,1720,16
281,1719,16
282,1718,16
283,1717,16
284,1716,16
285,1715,16
286,1714,16
287,1713,16
288,1712,15
289,1711,15
290,1710,15
291,1709,15
292,1708,15
293,1707,14
294,1706,14
295,1705,15
296,1704,15
297,1703,15
298,1702,15
299,1701,14
300,1700,15
301,1699,15
302,1698,15
303,1697,14
304,1696,14
305,1695,14
306,1694,14
307,1693,15
308,1692,15
309,1691,14
310,1690,14
311,1689,14
312,1688,14
313,1687,14
314,1686,14
315,1685,14
316,1684,14
317,1683,14
318,1682,14
319,1681,14
320,1680,14
321,1679,14
322,1678,14
323,1677,14
324,1676,14
325,1675,14
326,1674,14
327,1673,14
328,1672,14
329,1671,14
330,1670,14
331,1669,14
332,1668,14
333,1667,16
334,1666,16
335,1665,15
336,1664,15
337,1663,14
338,1662,14
339,1661,14
340,1660,13
341,1659,13
342,1658,13
343,1657,13
344,1656,13
345,1655,13
346,1654,12
347,1653,12
348,1652,12
349,1651,12
350,1650,11
351,1649,11
352,1648,12
353,1647,11
354,1646,11
355,1645,11
356,1644,11
357,1643,11
358,1642,11
359,1641,11
360,1640,11
361,1639,11
362,1638,11
363,1637,9
364,1636,9
365,1635,8
366,1634,8
367,1633,8
368,1632,8
369,1631,7
370,1630,7
371,1629,7
372,1628,7
373,1627,7
374,1626,6
375,1625,6
376,1624,6
377,1623,7
378,1622,6
379,1621,7
380,1620,8
381,1619,7
382,1618,7
383,1617,7
384,1616,7
385,1615,6
386,1614,6
387,1613,6
388,1612,5
389,1611,5
390,1610,5
391,1609,5
392,1608,6
393,1607,5
394,1606,4
395,1605,4
396,1604,4
397,1603,4
398,1602,4
399,1601,4
400,1600,4
