,State,Total wage income (in billion U.S. dollars)
0,California,4.8
1,Florida,4.7
2,Texas,2.4
3,North Carolina,1.7
4,New York,1.6
5,Ohio,1.5
6,Illinois,1.5
7,Georgia,1.5
8,Arizona,1.4
9,Michigan,1.4
10,New Jersey,0.97
11,Virginia,0.95
12,Massachusetts,0.86
13,Hawaii,0.85
14,Washington,0.8
15,Minnesota,0.78
16,Wisconsin,0.77
17,South Carolina,0.71
18,Oregon,0.7
19,Pennsylvania,0.7
20,Indiana,0.53
21,New Mexico,0.43
22,Connecticut,0.34
23,Louisiana,0.28
24,Iowa,0.23
25,Kentucky,0.22
26,Colorado,0.18
