,Country,Number of skiers in thousands
0,Germany,14607
1,France,8574
2,United Kingdom,6340
3,Poland,4990
4,Italy,4919
5,Russia,4275
6,Austria,2960
7,Switzerland,2959
8,Spain,2369
9,Czech Republic,2236
10,Sweden,1824
11,Finland,1264
12,Belgium,1253
13,Norway,1181
14,Ukraine,1114
15,Slovakia,988
16,Turkey,807
17,Denmark,667
18,Romania,654
19,Hungary,547
20,Bulgaria,349
21,Slovenia,299
22,Kazakhstan,266
23,Latvia,218
24,Serbia,217
25,Portugal,216
26,Greece,215
27,Bosnia and Herzegovina,194
28,Belarus,193
29,Lithuania,176
30,Macedonia,157
31,Georgia,114
32,Croatia,90
33,Azerbaijan,72
34,Iceland,63
35,Estonia,63
36,Armenia,59
37,Albania,30
38,Andorra,17
39,Liechtenstein,14
