,Year,Inflation rate compared to previous year
0,2025*,2.25%
1,2024*,2.25%
2,2023*,2.18%
3,2022*,2.15%
4,2021*,2.39%
5,2020*,2.92%
6,2019,2.75%
7,2018,2.33%
8,2017,3.09%
9,2016,0.84%
10,2015,2.48%
11,2014,0.8%
12,2013,1.46%
13,2012,1.35%
14,2011,0.87%
15,2010,2.76%
16,2009,4.3%
17,2008,4.84%
18,2007,3.94%
19,2006,2.04%
20,2005,1.2%
21,2004,1.42%
22,2003,3.02%
23,2002,1.96%
24,2001,3.58%
25,2000,2.54%
26,1999,2%
27,1998,3.56%
28,1997,2.81%
29,1996,0.93%
30,1995,2.23%
31,1994,2.3%
32,1993,3.57%
33,1992,4.06%
34,1991,6.47%
35,1990,4.76%
36,1989,7.75%
37,1988,8.76%
38,1987,16.04%
39,1986,4.77%
40,1985,1.07%
