,Response,Percentage of violent crimes
0,2018,11.5%
1,2017**,14.2%
2,2015,14%
3,2014,12.1%
4,2013,16.7%
5,2012,14.6%
6,2011,9.7%
7,2010,17.7%
8,2009,18.9%
9,2008,22.3%
10,2007,17.1%
11,2006,19.6%
12,2005,23.9%
13,2004,20.9%
14,2003,20.5%
15,2002,16.5%
16,2001,23.2%
17,2000,18.9%
18,1999,24.1%
19,1998,22.2%
20,1997,23.2%
21,1996,24.7%
22,1995,24.7%
23,1994,25%
24,1993,26.4%
25,1992,23.2%
26,1991,21.8%
27,1990,22.4%
28,1989,19.2%
29,1988,19.7%
30,1987,19.2%
31,1986,18.8%
32,1985,19.4%
33,1984,19.7%
34,1983,21.6%
35,1982,19%
36,1981,22.4%
37,1980,21.3%
