,Industry,Share of responding businesses
0,Retail or wholesale (incl. online shops),15%
1,Other,13%
2,"Professional services (e.g., financial services, consulting, travel agents, business services)",13%
3,"Media, communication or information (e.g., broadcasting, telecoms, computer programming)",11%
4,"Arts, entertainment or recreation (e.g., museum, creative arts, sports club)",10%
5,"Personal services (e.g. beauty and wellness, repair of household goods)",10%
6,Manufacturing,6%
7,"Healthcare (e.g., dentist, senior care)",4%
8,"Accommodation (e.g., hotels, camping grounds)",4%
9,Restaurant/café or other food services,3%
10,"Real estate (e.g., brokerage, leasing, management)",2%
11,Construction or home repair,2%
12,"Education (e.g., schools, tutoring, driving school)",2%
13,Non-profit/charity organization,2%
14,Automotive repair or services,2%
15,"Transportation or storage (e.g., taxi, warehousing)",1%
