,Metropolitan statistical area,"Rate per 100,000 population"
0,"Anchorage, AK",200.1
1,"Rapid City, SD",130.9
2,"St. Joseph, MO-KS",129.4
3,"Jackson, MI",127.2
4,"Danville, IL",120.7
5,"Farmington, NM",120.0
6,"Battle Creek, MI",114.8
7,"Pueblo, CO",111.0
8,"Niles, MI",99.9
9,"Lincoln, NE",96.1
10,"Gainesville, FL",95.5
11,"Spokane-Spokane Valley, WA",94.9
12,"Watertown-Fort Drum, NY",94.9
13,"Bay City, MI",94.3
14,"Colorado Springs, CO",93.4
15,"Detroit-Dearborn-Livonia, MI",90.5
16,"Casper, WY",90.4
17,"Grand Rapids-Kentwood, MI",89.8
18,"Kalamazoo-Portage, MI",89.0
19,"Muskegon, MI",88.4
20,"Lansing-East Lansing, MI",88.4
21,"Amarillo, TX",88.3
22,"Springfield, MO",87.8
23,"Fayetteville-Springdale-Rogers, AR",86.6
24,"Mansfield, OH",84.9
25,"Flint, MI",83.3
26,"Saginaw, MI",83.2
27,"San Angelo, TX",83.1
28,"Las Vegas-Henderson-Paradise, NV",82.9
29,"Lubbock, TX",82.2
30,"Columbus, IN",80.9
31,"Corpus Christi, TX",79.4
32,"Lawton, OK",79.2
33,"Carson City, NV",78.8
34,"Jonesboro, AR",77.7
35,"Monroe, MI",77.5
36,"Waco, TX",77.4
37,"Odessa, TX",77.0
38,"Redding, CA",76.6
39,"Utica-Rome, NY",76.2
40,"Wichita, KS",75.8
41,"Rockford, IL",75.2
42,"Blacksburg-Christiansburg, VA",74.7
43,"Fairbanks, AK",74.1
44,"Longview, WA",74.1
45,"Victoria, TX",73.9
46,"Salt Lake City, UT",73.8
47,"Tallahassee, FL",73.1
48,"Wichita Falls, TX",73.0
49,"Fort Smith, AR-OK",72.4
