,Country,Aid (in million U.S. dollars)
0,Yemen,3509.1
1,Syria Refugee Response and Resilience Plan (3RP),2040.0
2,Syria,1922.3
3,South Sudan,1122.3
4,Somalia,879.8
5,Democratic Republic of the Congo,738.0
6,Ethiopia,659.2
7,Iraq,647.5
8,Bangladesh: Joint Response Plan for Rohingya Humanitarian Crisis,636.7
9,Sudan,601.6
10,Nigeria,567.7
11,Afghanistan,460.4
12,Regional Refugee and Migrant Response Plan (for Refugees and Migrants from Venezuela),384.0
13,Central African Republic,300.3
14,Mozambique Humanitarian Response Plan,293.0
