,Month,Number of home runs
0,Barry Bonds,762
1,Hank Aaron,755
2,Babe Ruth,714
3,Alex Rodriguez,696
4,Willie Mays,660
5,Albert Pujols,656
6,Ken Griffey,630
7,Jim Thome,612
8,Sammy Sosa,609
9,Frank Robinson,586
10,Mark McGwire,583
11,Harmon Killebrew,573
12,Rafael Palmeiro,569
13,Reggie Jackson,563
14,Manny Ramirez,555
15,Mike Schmidt,548
16,David Ortiz,541
17,Mickey Mantle,536
18,Jimmie Foxx,534
19,Willie McCovey,521
20,Frank Thomas,521
21,Ted Williams,521
22,Ernie Banks,512
23,Eddie Mathews,512
24,Mel Ott,511
25,Gary Sheffield,509
26,Eddie Murray,504
27,Lou Gehrig,493
28,Fred McGriff,493
29,Adrian Beltre,477
30,Miguel Cabrera,477
