,Basketball player,Number of minutes played
0,Kareem Abdul-Jabbar,57446
1,Karl Malone,54852
2,Dirk Nowitzki,51367
3,Kevin Garnett,50412
4,Jason Kidd,50116
5,Elvin Hayes,50000
6,LeBron James*,48775
7,Kobe Bryant,48643
8,Wilt Chamberlain,47859
9,John Stockton,47766
10,Reggie Miller,47620
11,Tim Duncan,47367
12,Gary Payton,47117
13,John Havlicek,46471
14,Vince Carter,46370
15,Ray Allen,46350
16,Paul Pierce,45879
17,Robert Parish,45704
18,Moses Malone,45071
19,Joe Johnson,44233
20,Hakeem Olajuwon,44218
21,Oscar Robertson,43886
22,Clifford Robinson,42560
23,Buck Williams,42470
24,Jason Terry,42034
25,Shaquille O'Neal,41917
26,Scottie Pippen,41068
27,Michael Jordan,41010
28,Pau Gasol*,41001
29,Bill Russell,40726
