,Country,Amount in U.S. dollars
0,Zhejiang,24000
1,Shandong,20800
2,Shanghai,16000
3,Hubei,12800
4,Tibet,12800
5,"Heilongjiang, Jilin and Liaoning",12480
6,Tianjin,9600
7,Henan,9600
8,Shanxi,9422
9,Hunan,8000
10,Gansu,7200
11,Jiangxi,6080
12,Taiwan,5440
13,Fujian,5280
14,Qinghai,4800
15,Shaanxi,4800
16,Sichuan,4800
17,Guizhou,3200
18,Jiangsu,3200
19,Hainan,3200
20,Guangxi,3022
21,Yunnan,2667
22,Anhui,2560
23,Ningxia,2400
24,Beijing,1600
25,Guangdong,1600
26,Hebai,1600
27,Inner Mongolia,1422
28,Xinjiang,1067
29,Hong Kong*,0
30,Macao*,0
31,Chongqing*,0
