,Year,Inflation rate compared to previous year
0,2024*,2.55%
1,2023*,2.41%
2,2022*,2.19%
3,2021*,1.9%
4,2020*,1.45%
5,2019*,0.95%
6,2018,1.02%
7,2017,1.88%
8,2016,3.07%
9,2015,4.66%
10,2014,5.7%
11,2013,5.19%
12,2012,9.28%
13,2011,5.1%
14,2010,10.53%
15,2009,7.01%
16,2008,12.04%
17,2007,7.88%
18,2006,8.31%
19,2005,6.88%
20,2004,3.76%
21,2003,3.78%
22,2002,4.14%
23,2001,5.6%
24,2000,3.52%
25,1999,3.41%
26,1998,5.6%
27,1997,3.66%
28,1996,3.29%
29,1995,5.27%
30,1994,8.81%
31,1993,10.79%
32,1992,6.49%
33,1991,3.8%
34,1990,11.06%
35,1989,11.43%
36,1988,7.76%
37,1987,10.75%
38,1986,7.69%
39,1985,7.62%
40,1984,13.34%
