,Month,Volume of payments in thousands
0,Dec '19,226705
1,Nov '19,213369
2,Oct '19,219988
3,Sep '19,212825
4,Aug '19,201773
5,Jul '19,218525
6,Jun '19,186451
7,May '19,204249
8,Apr '19,203017
9,Mar '19,190700
10,Feb '19,176183
11,Jan '19,186128
12,Dec '18,182222
13,Nov '18,186266
14,Oct '18,192692
15,Sep '18,162095
16,Aug '18,172943
17,Jul '18,175860
18,Jun '18,163348
19,May '18,167259
20,Apr '18,169163
21,Mar '18,158295
22,Feb '18,148571
23,Jan '18,164087
24,Dec '17,150049
25,Nov '17,152178
26,Oct '17,152602
27,Sep '17,138707
