,coach,Annual salary (in euros)
0,Fabio Capello (England),8800000
1,Marcello Lippi (Italy),3000000
2,Joachim Löw (Germany),2500000
3,Bert van Marwijk (Netherlands),1800000
4,Ottmar Hitzfeld (Switzerland),1750000
5,Vicente del Bosque (Spain),1500000
6,Carlos Queiroz (Portugal),1350000
7,Pim Verbeek (Australia),1200000
8,Carlos Parreira (South Africa),1200000
9,Javier Aguirre (Mexico),1200000
10,Carlos Dunga (Brazil),800000
11,Diego Maradona (Argentina),800000
12,Takeshi Okada (Japan),800000
13,Ricki Herbert (New Zealand),800000
14,Otto Rehhagel (Greece),750000
15,Paul Le Guen (Cameroon),650000
16,Marcelo Bielsa (Chile),575000
17,Raymond Domenech (France),560000
18,Vahdi Halilhodzic (Ivory Coast),505000
19,Moo Jung Hun (South Korea),405000
20,Morten Olsen (Denmark),390000
21,Milovan Rajevac (Ghana),365000
22,Radomir Antic (Serbia),305000
23,Bob Bradley (USA),275000
24,Majtaz Kek (Slovenia),245000
25,Gerardo Martino (Paraguay),245000
26,Rabah Saadane (Algeria),245000
27,Reinaldo Rueda (Honduras),240000
28,Vladimir Weiss (Slovakia),215000
29,Oscar Tabarez (Uruquay),205000
30,Kim Jong Hun (North Korea),170000
31,Shaibu Amodu (Nigeria),125000
