,Quarter,Revenue in million U.S. dollars
0,Q1 2010,587.87
1,Q2 2010,589.59
2,Q3 2010,554.33
3,Q4 2010,661.68
4,Q1 2011,500.66
5,Q2 2011,511.99
6,Q3 2011,451.57
7,Q4 2011,547.4
8,Q1 2012,475.43
9,Q2 2012,489.8
10,Q3 2012,355.34
11,Q4 2012,468.11
12,Q1 2013*,380.68
13,Q2 2013*,390.96
14,Q3 2013,361.74
15,Q4 2013,443.86
16,Q1 2014*,390.41
17,Q2 2014*,388.72
18,Q3 2014,364.72
19,Q4 2014,444.68
20,Q1 2015,384.24
21,Q2 2015,382.89
22,Q3 2015,367.4
23,Q4 2015,444.69
24,Q1 2016,379.52
25,Q2 2016,372.63
26,Q3 2016,363.55
27,Q4 2016,439.65
28,Q1 2017,398.8
29,Q2 2017,407.07
30,Q3 2017,385.64
31,Q4 2017,484.13
32,Q1 2018,413.95
33,Q2 2018,414.56
34,Q3 2018,417.35
35,Q4 2018,502.74
36,Q1 2019,439.06
37,Q2 2019,436.26
38,Q3 2019,428.5
39,Q4 2019,508.36
