,Year,Inflation rate compared to previous year
0,2025*,1.52%
1,2024*,1.37%
2,2023*,1.24%
3,2022*,1.23%
4,2021*,1.06%
5,2020*,0%
6,2019,0.3%
7,2018,1.17%
8,2017,1.56%
9,2016,0.64%
10,2015,0.51%
11,2014,-0.16%
12,2013,0.44%
13,2012,2.78%
14,2011,3.55%
15,2010,1.36%
16,2009,-0.9%
17,2008,2.65%
18,2007,2.42%
19,2006,3.05%
20,2005,2.13%
21,2004,2.51%
22,2003,2.34%
23,2002,3.7%
24,2001,4.41%
25,2000,2.81%
26,1999,2.17%
27,1998,2.22%
28,1997,1.89%
29,1996,2.94%
30,1995,3.97%
31,1994,4.97%
32,1993,5.93%
33,1992,8.86%
34,1991,11.43%
35,1990,13.37%
36,1989,12.61%
37,1988,9.58%
38,1987,9.4%
39,1986,11.67%
40,1985,19.34%
