,Christmas movies ,Box office revenue in U.S. million dollars
0,Home Alone(1990),285.76
1,Dr. Seuss' The Grinch (2018),270.52
2,How the Grinch StoleChristmas (2000),260.04
3,The Polar Express(2004),157.22
4,Elf(2003),173.84
5,Home Alone 2: Lost in New York(1992),173.59
6,The Santa Clause(1994),144.83
7,The Santa Clause 2(2002),139.24
8,A Christmas Carol(2009),137.86
9,Four Christmases(2008),120.15
10,Daddy's Home 2(2017),104.03
11,The Santa Clause 3:The Escape Clause (2006),84.5
12,Tim Burton's NightmareBefore Christmas (1993),75.08
13,Christmas with the Kranks(2004),73.78
14,A Bad Moms Christmas(2017),72.11
15,Fred Claus(2007),72.01
16,Christmas Vacation(1996),71.32
17,The Best Man Holiday(2013),70.53
18,Jingle All the Way(1996),60.59
19,Scrooged(1988),60.33
