,college major groups,Number of U.S. students with a bachelor´s degree
0,Business,8446263
1,Education,3568392
2,Humanities and Liberal Arts,3287782
3,Engineering,2786488
4,Social Science,2341689
5,Health,2320732
6,Communications and Journalism,1986030
7,Psychology and Social Work,1808669
8,Computers and Mathematics,1728959
9,Arts,1539384
10,Biology and Life Science,1197003
11,Physical Sciences,936633
12,Law and Public Policy,768978
13,Industrial Arts and Consumer Services,554707
14,Agriculture and Natural Resources,530888
