,Industry,Real value added in billion chained (2012) U.S. dollars
0,"Finance, insurance, real estate, rental, and leasing",5.23
1,"Educational services, health care, and social assistance",4.18
2,Government and government enterprises,4.12
3,Professional and business services,3.35
4,Manufacturing,2.9
5,Retail trade,2.43
6,"Arts, entertainment, recreation, accommodation, and food services",1.87
7,Wholesale trade,1.49
8,Information,0.96
9,Construction,0.84
10,"Agriculture, forestry, fishing, and hunting",0.65
11,Utilities,0.57
12,Transportation and warehousing,0.48
13,"Mining, quarrying, and oil and gas extraction",0.18
