,Type of store,Million U.S. dollars
0,Motor vehicle and parts dealers(NAICS 441),22075
1,General merchandise(NAICS 452),18223
2,Food and beverage stores(NAICS 445),16480
3,Building and material supply(NAICS 444),14991
4,Food services & drinking places(NAICS 722),14810
5,Gasoline service stations(NAICS 447),13495
6,Health and personal care(NAICS 446),8028
7,Clothing and clothing accessories(NAICS 448),6310
8,Nonstore retailers(NAICS 454),4501
9,Miscellaneous stores(NAICS 453),3343
10,Furniture and home furnishings(NAICS 442),2989
11,Electronics and appliances(NAICS 443),2775
12,"Sporting goods, hobby, book &music stores (NAICS 451)",2305
