,Series (number of titles),Units sold in millions
0,Resident Evil (135),95.0
1,Monster Hunter (47),60.0
2,Street Fighter (91),44.0
3,Mega Man (154),35.0
4,Devil May Cry (31),21.0
5,Dead Rising (22),13.0
6,Marvel vs. Capcom (16),9.3
7,Onimusha (16),8.3
8,Ace Attorney (30),7.3
9,Lost Planet (17),6.2
10,Dragon's Dogma (13),4.9
11,Dino Crisis (13),4.4
12,Ghosts'n Goblins (14),4.2
13,Sengoku BASARA (30),4.0
14,Breath of Fire (15),3.2
15,Final Fight (10),3.2
16,Okami (11),2.8
17,1942 (3),1.4
18,Commando (2),1.2
