,name of the battle,Number of casualties
0,"Battle of Gettysburg (Jul, 1863)",51000
1,"Battle of Chickamauga (Sep, 1863)",34624
2,"Battle of Spotsylvania Court House (May, 1864)",30000
3,"Battle of the Wilderness (May, 1864)",29800
4,"Battle of Chancellorsville (Apr, 1863)",24000
5,"Battle of Shiloh (Apr, 1862)",23746
6,"Battle of Stones River (Dec, 1862/Jan, 1863)",23515
7,"Battle of Antietam (Sep, 1862)",22717
8,"Second Battle of Bull Run (Aug, 1862)",22180
9,"Siege of Vicksburg (May/Jul, 1863)",19233
