,Year,GDP per capita in U.S. dollars
0,2024*,35572.01
1,2023*,34267.61
2,2022*,33092.26
3,2021*,31937.23
4,2020*,30734.12
5,2019*,29961.11
6,2018,30733.17
7,2017,28381.06
8,2016,26681.57
9,2015,25849.69
10,2014,29686.72
11,2013,29237.72
12,2012,28583.74
13,2011,31868.86
14,2010,30803.47
15,2009,32412.77
16,2008,35725.35
17,2007,32748.09
18,2006,28530.04
19,2005,26547.91
20,2004,24981.31
21,2003,21528.29
22,2002,17075.47
23,2001,15365.8
24,2000,14721.7
25,1999,15774.44
26,1998,15418.91
27,1997,14746.42
28,1996,16055.97
29,1995,15437.36
30,1994,13386.46
31,1993,13376.56
32,1992,15973.58
33,1991,14661.18
34,1990,13649.28
35,1989,10540.02
36,1988,9574.95
37,1987,8167.06
38,1986,6461.29
39,1985,4683.16
40,1984,4460.6
