,Year,Inflation rate compared to previous year
0,2024*,3.7%
1,2023*,3.7%
2,2022*,3.7%
3,2021*,3.7%
4,2020*,3.7%
5,2019*,3.45%
6,2018,3.98%
7,2017,3.6%
8,2016,4.09%
9,2015,3.13%
10,2014,5.03%
11,2013,2.66%
12,2012,3.69%
13,2011,8.24%
14,2010,4.64%
15,2009,2.61%
16,2008,10.19%
17,2007,8.14%
18,2006,9.57%
19,2005,6.82%
20,2004,4.31%
21,2003,14.24%
22,2002,10.47%
23,2001,7.31%
24,2000,8.98%
25,1999,6.75%
26,1998,11.55%
27,1997,6.95%
28,1996,9.8%
29,1995,13.39%
30,1994,20.6%
31,1993,18.28%
32,1992,15.11%
33,1991,24.28%
34,1990,38.16%
35,1989,25.59%
36,1988,22.59%
37,1987,21.66%
38,1986,31.7%
39,1985,24.85%
40,1984,20.94%
