,Month,Inflation rate
0,May '15,0.5%
1,Jun '15,0.1%
2,Jul '15,-0.2%
3,Aug '15,0.2%
4,Sep '15,0.4%
5,Oct '15,0.7%
6,Nov '15,0.6%
7,Dec '15,0.2%
8,Jan '16,0.1%
9,Feb '16,-0.1%
10,Mar '15,0%
11,Apr '16,-0.1%
12,May '16,-0.1%
13,Jun '16,0.2%
14,Jul '16,0.8%
15,Aug '16,0.8%
16,Sep '16,0.1%
17,Oct '16,-0.2%
18,Nov '16,0.3%
19,Dec '16,1.1%
20,Jan '17,1.7%
21,Feb '17,2.5%
22,Mar '17,1.9%
23,Apr '17,1.6%
24,May '17,1.7%
25,Jun '17,1.7%
26,Jul '17,1.7%
27,Aug '17,1.7%
28,Sep '17,2.2%
29,Oct '17,2.9%
30,Nov '17,2.8%
31,Dec '17,2.6%
32,Jan '18,2.2%
33,Feb '18,1.2%
34,Mar '18,1.9%
35,Apr '18,2.2%
36,May '18,2.2%
37,Jun '18,2.4%
38,Jul '18,2%
39,Aug '18,2.1%
40,Sep '18,2.2%
41,Oct '18,1.7%
42,Nov '18,1.3%
43,Dec '18,1.3%
44,Jan '19,1.4%
45,Feb '19,2%
46,Mar '19,1.7%
47,Apr '19,1.7%
48,May '19,1.8%
49,Jun '19,2%
50,Jul '19,2.5%
51,Aug '19,2.6%
52,Sep '19,2%
53,Oct '19,1.9%
54,Nov '19,2.3%
55,Dec '19,2.4%
56,Jan '20,2.5%
