,Country,Prevalence of diabetes
0,Germany,15.3%
1,Mexico,15.2%
2,Portugal,14.2%
3,United States,13.3%
4,Malta,12.2%
5,Turkey,12%
6,Brazil,11.4%
7,China,10.9%
8,Spain,10.5%
9,Cyprus,10.4%
10,Canada,10.1%
11,Chile,9.8%
12,Austria,9.7%
13,Hungary,9.3%
14,South Korea,9.2%
15,Finland,9.2%
16,Slovakia,9.1%
17,India,8.9%
18,Denmark,8.8%
19,Bulgaria,8.3%
20,Italy,8.3%
21,Netherlands,8.1%
22,Poland,8.1%
23,Japan,7.9%
24,Russia,7.8%
25,Slovenia,7.8%
26,Switzerland,7.7%
27,New Zealand,7.7%
28,France,7.6%
29,Iceland,7.6%
30,Norway,7.5%
31,Greece,7.4%
32,Australia,7.3%
33,Sweden,7.2%
34,Croatia,6.8%
35,Belgium,6.8%
36,Luxembourg,6.5%
37,United Kingdom,5.6%
38,Ireland,4.4%
