,Month,Number of people
0,Mar 6,1
1,Mar 7,2
2,Mar 8,2
3,Mar 9,2
4,Mar 10,0
5,Mar 11,3
6,Mar 12,11
7,Mar 13,11
8,Mar 14,12
9,Mar 15,17
10,Mar 16,11
11,Mar 17,25
12,Mar 18,8
13,Mar 19,18
14,Mar 20,14
15,Mar 21,41
16,Mar 22,7
17,Mar 23,19
18,Mar 24,12
19,Mar 25,10
20,Mar 26,43
21,Mar 27,23
22,Mar 28,22
23,Mar 29,22
24,Mar 30,27
25,Mar 31,37
26,Apr 1,26
27,Apr 2,24
28,Apr 3,21
29,Apr 4,14
30,Apr 5,49
31,Apr 6,47
32,Apr 7,101
33,Apr 8,19
34,Apr 9,14
35,Apr 10,13
36,Apr 11,14
37,Apr 12,27
38,Apr 13,66
39,Apr 14,28
40,Apr 15,114
41,Apr 16,72
42,Apr 17,40
43,Apr 18,72
44,Apr 19,12
45,Apr 20,26
46,Apr 21,45
47,Apr 22,81
48,Apr 23,35
49,Apr 24,13
50,Apr 25,6
51,Apr 26,2
52,Apr 27,3
53,Apr 28,7
54,Apr 29,5
55,Apr 30,7
56,May 1,4
57,May 2,1
58,May 3,5
59,May 4,8
60,May 5,8
61,May 6,16
62,May 7,10
63,May 8,0
64,May 9,2
65,May 10,0
66,May 11,8
67,May 12,4
68,May 13,8
69,May 14,3
70,May 15,13
71,May 16,1
72,May 17,1
73,May 18,0
74,May 19,1
75,May 20,6
76,May 21,1
77,May 22,1
78,May 23,5
79,May 24,2
80,May 25,2
81,May 26,2
82,May 27,5
83,May 28,0
84,May 29,1
85,May 30,0
86,May 31,1
87,Jun 1,0
88,Jun 2,3
89,Jun 3,1
90,Jun 4,0
91,Jun 5,2
92,Jun 6,0
93,Jun 7,2
94,Jun 8,1
95,Jun 9,2
96,Jun 10,8
97,Jun 11,1
98,Jun 12,3
99,Jun 13,3
100,Jun 14,4
101,Jun 15,0
102,Jun 16,9
103,Jun 17,1
104,Jun 18,15
105,Jun 19,10
106,Jun 20,1
107,Jun 21,1
108,Jun 22,1
109,Jun 23,18
110,Jun 24,23
111,Jun 25,13
112,Jun 26,14
113,Jun 27,7
114,Jun 28,1
115,Jun 29,2
116,Jun 30,20
117,Jul 1,13
118,Jul 2,20
119,Jul 3,29
120,Jul 4,15
121,Jul 5,1
122,Jul 8,53
123,Jul 9,19
124,Jul 10,23
125,Jul 11,8
126,Jul 12,1
127,Jul 13,6
128,Jul 14,19
129,Jul 15,24
130,Jul 16,14
131,Jul 17,11
132,Jul 18,3
133,Jul 19,1
134,Jul 20,41
135,Jul 21,37
136,Jul 22,31
137,Jul 23,29
138,Jul 24,23
139,Jul 25,38
140,Jul 26,2
141,Jul 31,45
142,Aug 1,7
143,Aug 2,10
144,Aug 5,63
145,Aug 6,43
146,Aug 7,43
147,Aug 8,43
148,Aug 9,30
149,Aug 12,75
150,Aug 13,49
151,Aug 14,62
152,Aug 15,54
153,Aug 16,47
154,Aug 17,5
155,Aug 18,15
156,Aug 19,100
157,Aug 20,80
158,Aug 21,123
159,Aug 22,91
160,Aug 23,40
161,Aug 29,24
162,Aug 30,99
163,Sep 3,137
164,Sep 4,226
165,Sep 5,88
166,Sep 6,22
167,Sep 10,186
168,Sep 15,92
169,Sep 20,79
170,Sep 25,552
171,Sep 30,797
172,Oct 1,679
173,Oct 5,320
174,Oct 10,1054
175,Oct 11,504
176,Oct 15,2075
177,Oct 16,1968
178,Oct 17,1567
179,Oct 18,860
180,Oct 19,705
181,Oct 24,3042
182,Oct 29,3363
183,Oct 30,2573
184,Oct 31,2282
185,Nov 01,1883
186,Nov 02,1727
187,Nov 03,3216
188,Nov 04,1962
189,Nov 05,2354
190,Nov 06,2579
191,Nov 07,1828
192,Nov 08,577
193,Nov 09,1051
194,Nov 10,2058
195,Nov 11,2591
196,Nov 13,1771
197,Nov 15,509
198,Nov 17,1311
199,Nov 18,1665
200,Nov 19,1818
