,Month,Number of new cases
0,"Jan 6, 2021",8
1,"Jan 5, 2021",19
2,"Jan 4, 2021",20
3,"Jan 3, 2021",31
4,"Jan 2, 2021",16
5,"Jan 1, 2021",31
6,"Dec 31, 2020",29
7,"Dec 30, 2020",27
8,"Dec 29, 2020",39
9,"Dec 28, 2020",35
10,"Dec 27, 2020",32
11,"Dec 26, 2020",34
12,"Dec 25, 2020",28
13,"Dec 24, 2020",18
14,"Dec 23, 2020",21
15,"Dec 22, 2020",34
16,"Dec 21, 2020",29
17,"Dec 20, 2020",24
18,"Dec 19, 2020",22
19,"Dec 18, 2020",29
20,"Dec 17, 2020",27
21,"Dec 16, 2020",24
22,"Dec 15, 2020",32
23,"Dec 14, 2020",28
24,"Dec 13, 2020",22
25,"Dec 12, 2020",17
26,"Dec 11, 2020",25
27,"Dec 10, 2020",32
28,"Dec 9, 2020",22
29,"Dec 8, 2020",20
30,"Dec 7, 2020",27
31,"Dec 6, 2020",25
32,"Dec 5, 2020",18
33,"Dec 4, 2020",18
34,"Dec 3, 2020",23
35,"Dec 2, 2020",41
36,"Dec 1, 2020",20
37,"Nov 30, 2020",22
38,"Nov 29, 2020",27
39,"Nov 28, 2020",22
40,"Nov 27, 2020",15
41,"Nov 26, 2020",28
42,"Nov 25, 2020",24
43,"Nov 24, 2020",29
44,"Nov 23, 2020",24
45,"Nov 22, 2020",29
46,"Nov 21, 2020",19
47,"Nov 20, 2020",16
48,"Nov 19, 2020",22
49,"Nov 18, 2020",20
50,"Nov 17, 2020",24
51,"Nov 16, 2020",22
52,"Nov 15, 2020",18
53,"Nov 14, 2020",21
54,"Nov 13, 2020",30
55,"Nov 12, 2020",13
56,"Nov 11, 2020",18
57,"Nov 10, 2020",9
58,"Nov 9, 2020",12
59,"Nov 8, 2020",16
60,"Nov 7, 2020",16
61,"Nov 6, 2020",17
62,"Nov 5, 2020",13
63,"Nov 4, 2020",13
64,"Nov 3, 2020",14
65,"Nov 2, 2020",20
66,"Nov 1, 2020",9
67,"Oct 31, 2020",7
68,"Oct 30, 2020",10
69,"Oct 29, 2020",6
70,"Oct 28, 2020",12
71,"Oct 27, 2020",10
72,"Oct 26, 2020",5
73,"Oct 25, 2020",7
74,"Oct 24, 2020",4
75,"Oct 23, 2020",7
76,"Oct 22, 2020",9
77,"Oct 21, 2020",4
78,"Oct 20, 2020",2
79,"Oct 19, 2020",4
80,"Oct 18, 2020",5
81,"Oct 17, 2020",1
82,"Oct 16, 2020",2
83,"Oct 15, 2020",1
84,"Oct 14, 2020",4
85,"Oct 13, 2020",3
86,"Oct 12, 2020",3
87,"Oct 11, 2020",1
88,"Oct 10, 2020",5
89,"Oct 9, 2020",3
90,"Oct 8, 2020",3
91,"Oct 7, 2020",3
92,"Oct 6, 2020",2
93,"Oct 5, 2020",5
94,"Oct 4, 2020",1
95,"Oct 3, 2020",3
96,"Oct 2, 2020",0
97,"Oct 1, 2020",3
98,"Sep 30, 2020",4
99,"Sep 29, 2020",0
100,"Sep 28, 2020",3
101,"Sep 27, 2020",0
102,"Sep 26, 2020",0
103,"Sep 25, 2020",1
104,"Sep 24, 2020",2
105,"Sep 23, 2020",3
106,"Sep 22, 2020",2
107,"Sep 21, 2020",0
108,"Sep 20, 2020",0
109,"Sep 19, 2020",2
110,"Sep 18, 2020",1
111,"Sep 17, 2020",0
112,"Sep 16, 2020",1
113,"Sep 15, 2020",2
114,"Sep 14, 2020",1
115,"Sep 13, 2020",1
116,"Sep 12, 2020",4
117,"Sep 11, 2020",2
