,Year,Inflation rate compared to previous year
0,2025*,4%
1,2024*,4%
2,2023*,4%
3,2022*,3.45%
4,2021*,2.99%
5,2020*,1.62%
6,2019,2.85%
7,2018,3.24%
8,2017,3.3%
9,2016,2.81%
10,2015,3.05%
11,2014,4.42%
12,2013,5.88%
13,2012,7.54%
14,2011,8.47%
15,2010,6.95%
16,2009,8.11%
17,2008,12.62%
18,2007,7.08%
19,2006,11.55%
20,2005,8.61%
21,2004,6.99%
22,2003,9.19%
23,2002,8.03%
24,2001,6.57%
25,2000,8.53%
26,1999,7.82%
27,1998,6.51%
28,1997,8.9%
29,1996,10.1%
30,1995,10.5%
31,1994,10.6%
32,1993,14.4%
33,1992,16.5%
34,1991,12.6%
35,1990,11.4%
36,1989,11.6%
37,1988,8.4%
38,1987,9.8%
39,1986,10%
40,1985,8.1%
