,main causes of skills gaps,Proportion of all skills gaps
0,New to role and/or training incomplete,73%
1,Staff are new to the role,60%
2,Their training is currently only partially completed,56%
3,Staff lack motivation,34%
4,They have been on training but their performance has not improved sufficiently,29%
5,The introduction of new working practices,28%
6,Unable to recruit staff with the required skills,26%
7,Staff have not received the appropriate training,26%
8,The introduction of new technology,20%
9,The development of new products and services,19%
10,Problems retaining staff,18%
