,Country,Direct premiums written in million U.S dollars
0,United Kingdom,264221
1,France,167588
2,Italy,124133
3,Germany,101550
4,Ireland,66297
5,Luxembourg,31562
6,Spain,30808
7,Switzerland,30210
8,Sweden,28648
9,Denmark,27676
10,Finland,22291
11,Belgium,18368
12,Netherlands,14437
13,Norway,12053
14,Portugal,8031
15,Austria,6126
16,Poland,3892
17,Czechia,2309
18,Greece,2180
19,Malta,2003
20,Hungary,1741
21,Turkey,1689
22,Slovakia,933
23,Slovenia,844
24,Romania,481
25,Croatia,463
26,Cyprus,431
27,Bulgaria,200
28,Estonia,113
29,Latvia,57
30,Iceland,51
31,Liechtenstein,-
