,Year,Gross domestic product in billion international dollars
0,2021*,71.45
1,2020*,66.44
2,2019*,64.1
3,2018,59.84
4,2017,54.92
5,2016,50.19
6,2015,46.71
7,2014,43.46
8,2013,40.02
9,2012,38.25
10,2011,35.7
11,2010,34.47
12,2009,32.9
13,2008,31.98
14,2007,30.15
15,2006,27.98
16,2005,26.51
17,2004,24.34
18,2003,22.38
19,2002,20.6
20,2001,20.15
21,2000,18.85
22,1999,17.87
23,1998,16.56
24,1997,15.47
25,1996,14.74
26,1995,14.19
27,1994,13.19
28,1993,12.92
29,1992,12.46
30,1991,12.03
31,1990,11.35
32,1989,11.01
33,1988,10.19
34,1987,9.9
35,1986,9.11
36,1985,8.66
37,1984,8.13
