,State,Exports in million U.S. dollars
0,Texas,42638
1,Louisiana,9843
2,New Jersey,7370
3,California,7072
4,Ohio,6195
5,Florida,5424
6,Illinois,5373
7,Pennsylvania,5089
8,Tennessee,3890
9,New York,3887
10,Michigan,3600
11,North Carolina,3550
12,Georgia,3300
13,South Carolina,3010
14,Alabama,2234
15,Virginia,2173
16,Kentucky,2161
17,Indiana,1957
18,Missouri,1833
19,Oregon,1823
20,West Virginia,1527
21,Iowa,1474
22,Wisconsin,1317
23,Minnesota,1254
24,Massachusetts,1245
25,Wyoming,1091
26,Utah,1003
27,Maryland,941
28,Arizona,938
29,Mississippi,917
30,Connecticut,844
31,Arkansas,744
32,Washington,743
33,Oklahoma,708
34,Kansas,595
35,Nebraska,566
36,Delaware,554
37,Colorado,486
38,North Dakota,277
39,Idaho,264
40,Rhode Island,260
41,Montana,216
42,Nevada,158
43,New Mexico,123
44,New Hampshire,95
45,South Dakota,76
46,Vermont,59
47,Maine,35
48,District of Columbia,8
49,Hawaii,4
50,Alaska,3
