,Year,Light vehicle sales in thousands
0,2019,16952.9
1,2018,17213.5
2,2017,17136.4
3,2016,17464.8
4,2015,17396.3
5,2014,16452.2
6,2013,15530.1
7,2012,14433.2
8,2011,12741.8
9,2010,11554.8
10,2009,10402.3
11,2008,13194.8
12,2007,16089.0
13,2006,16504.1
14,2005,16948.2
15,2004,16866.9
16,2003,16639.1
17,2002,16816.2
18,2001,17122.4
19,2000,17349.7
20,1999,16893.7
21,1998,15543.0
22,1997,15121.9
23,1996,15097.1
24,1995,14728.4
25,1994,15044.9
26,1993,13882.7
27,1992,12857.3
28,1991,12309.4
29,1990,13859.7
30,1989,14520.7
31,1988,15443.2
32,1987,14875.1
33,1986,16044.3
34,1985,15425.1
35,1984,14205.1
36,1983,12107.1
37,1982,10357.3
38,1981,10563.6
39,1980,11197.5
40,1979,13758.4
41,1978,14981.0
