,Year,GDP per capita in U.S. dollars
0,2025*,5202.51
1,2024*,5061.51
2,2023*,4900.39
3,2022*,4754.34
4,2021*,4411.84
5,2020*,4051.93
6,2019,5072.37
7,2018,5609.91
8,2017,5411.16
9,2016,4621.9
10,2015,5067.77
11,2014,5717.76
12,2013,5793.93
13,2012,6038.86
14,2011,5870.93
15,2010,5410.98
16,2009,4340.18
17,2008,4198.55
18,2007,4378.56
19,2006,4007.73
20,2005,3708.79
21,2004,3440.97
22,2003,2607.86
23,2002,1811.25
24,2001,1939.79
25,2000,2139.71
26,1999,1874.47
27,1998,1837.31
28,1997,2143.73
29,1996,2126.35
30,1995,2197.59
