,Quarter,Repayments in million GBP
0,Q3 '19,56540
1,Q2 '19,53285
2,Q1 '19,52977
3,Q4 '18,59351
4,Q3 '18,60413
5,Q2 '18,54461
6,Q1 '18,53429
7,Q4 '17,57474
8,Q3 '17,56063
9,Q2 '17,50957
10,Q1 '17,50867
11,Q4 '16,52268
12,Q3 '16,53681
13,Q2 '16,50304
14,Q1 '16,50844
15,Q4 '15,51219
16,Q3 '15,49822
17,Q2 '15,45282
18,Q1 '15,41469
19,Q4 '14,45646
20,Q3 '14,48730
21,Q2 '14,45253
22,Q1 '14,42598
23,Q4 '13,46885
24,Q3 '13,45360
25,Q2 '13,39837
26,Q1 '13,34447
27,Q4 '12,35679
28,Q3 '12,34820
29,Q2 '12,33618
30,Q1 '12,32462
